t,ax,ay,az,magnitud,etiqueta,registro
4.663879208,0.5076118114687725,-2.5406395531309527,0.4778258907025272,2.6345467678334575,caminata,caminata/caminata_001
4.673839208,0.746607435602875,-2.4608294829927955,0.567888955078925,2.6335531649398543,caminata,caminata/caminata_001
4.683798208,0.9783539756095185,-2.3128867976302976,0.6412024925784442,2.5918646717628397,caminata,caminata/caminata_001
4.693758208,1.187536234008458,-2.119080562799737,0.699131128266184,2.5277517823610345,caminata,caminata/caminata_001
4.703717208,1.361010524415756,-1.902548753168857,0.743655544644521,2.454600777078701,caminata,caminata/caminata_001
4.713677208,1.4885367638491882,-1.6847023490432744,0.7770270926077565,2.37859933676292,caminata,caminata/caminata_001
4.723636208,1.5632735606757397,-1.483050700363315,0.8014112205664274,2.299026652695809,caminata,caminata/caminata_001
4.733596208,1.5820114210909575,-1.3096678071796022,0.8185850477172332,2.2108983201339414,caminata,caminata/caminata_001
4.743555208,1.545137376785832,-1.1704264427893079,0.8297478129724624,2.1085134583999268,caminata,caminata/caminata_001
4.753515208,1.456344751405183,-1.0650270357167355,0.8354846750465814,1.9882799762585481,caminata,caminata/caminata_001
4.763474208,1.3221233274664042,-0.9877534076767954,0.8358969693632424,1.8499704405202293,caminata,caminata/caminata_001
4.773434208,1.151085447712234,-0.9288080903690347,0.830880478941818,1.696480046141549,caminata,caminata/caminata_001
4.783394208,0.9531992903805833,-0.8760234143594943,0.8205037638169015,1.5327205668763682,caminata,caminata/caminata_001
4.793353208,0.7390084568434443,-0.8167153863271418,0.8054169943704871,1.3644977304379846,caminata,caminata/caminata_001
4.803313208,0.5189149030721839,-0.7394472659314422,0.7872121658888077,1.1982311671156143,caminata,caminata/caminata_001
4.813272208,0.30258952202554934,-0.6354975181336764,0.7686596437768004,1.0422356558690509,caminata,caminata/caminata_001
4.823232208,0.09855257357021126,-0.4998780871341203,0.7537627299212071,0.9098071030567136,caminata,caminata/caminata_001
4.833191208,-0.08606196497009014,-0.3318162854474759,0.7475981556726173,0.8224425277597048,caminata,caminata/caminata_001
4.843151208,-0.24557273875863223,-0.1346872400799708,0.755941337984773,0.8061599897886176,caminata,caminata/caminata_001
4.853110208,-0.37568554557744227,0.08454688896556986,0.7847055945731148,0.8740999232032471,caminata,caminata/caminata_001
4.863070208,-0.47334555699793074,0.31627932016667143,0.8392497911421095,1.0141148044609385,caminata,caminata/caminata_001
4.873029208,-0.5365561027053245,0.549435963167461,0.923626455807889,1.2011903091685034,caminata,caminata/caminata_001
4.882989208,-0.5642020782563228,0.7727282318244475,1.039851757988228,1.4130550534068018,caminata,caminata/caminata_001
4.892949208,-0.555900687469714,0.9758301100503012,1.1872807557950902,1.6342905405990222,caminata,caminata/caminata_001
4.902908208,-0.5118887041702589,1.1503529361326443,1.3621667691837807,1.8549501961493957,caminata,caminata/caminata_001
4.912868208,-0.43294806852950335,1.2905272415605307,1.5574725185364868,2.0684838015439344,caminata,caminata/caminata_001
4.922827208,-0.32037115897670404,1.393542628814254,1.7629819323356029,2.2699568347368184,caminata,caminata/caminata_001
